Revenue,Expenses
4422590.057,2956058.438
5551566.354,2538336.009
4895901.195,3354105.062
5028592.997,2827307.576
4813368.174,3105927.718
5369513.613,2980354.666
5205926.874,3128871.218
5273517.896,2544293.136
5061510.02,2776865.019
4373031.021,2435009.833
5673624.139,3284003.323
4477100.85,3901546.673
4626647.786,2639778.371
5289926.116,2872113.397
5033217.103,3398942.678
4568980.751,3069251.788
4563254.069,2935190.555
4475945.917,2843975.921
4728022.09,3032306.93
5447962.054,3144895.12
6015049.454,2941256.759
5518139.287,3340447.229
5415371.232,2727538.968
4786702.939,3317642.909
4566814.548,2830092.118
5295208.169,2886718.574
5251575.347,2727903.869
5626239.262,2849195.873
4840903.243,2745585.575
4845039.828,2732322.552
4826480.74,2430618.603
6158895.324,2908865.875
5437029.812,2870813.002
4856410.639,2893952.977
4985281.289,2840877.324
4959731.839,3405247.99
5780331.228,3042125.794
4783294.319,3067022.119
4883362.923,2906343.487
5730505.727,3231304.965
5031882.486,3110302.818
4786421.099,2682570.385
4338910.313,2690617.182
4686867.958,2725200.819
5963621.757,3062449.743
4692336.796,3220755.117
4345637.504,2580008.528
5937007.148,3306564.964
4541994.551,3589205.905
5365754.43,3406916.069
5693767.159,3121850.538
4046261.333,2925182.68
5308102.353,2945958.79
4383919.056,2844833.185
4941314.918,3022736.784
4451588.497,2924266.476
4699301.861,3207888.419
5138152.329,3194081.614
5617882.48,2940656.278
5048032.571,3068647.631
5143276.323,2576648.975
4928960.958,3012932.418
5844174.537,3057515.997
4822894.932,3303509.614
4516755.431,2725501.508
5179745.457,2559572.842
4776874.166,3320812.202
5218540.416,2969908.449
4416500.768,3369604.004
5310893.402,2626606.619
4896372.417,3192611.84
5157076.511,2899589.591
4840315.034,3260369.384
4936359.737,3459278.591
4496883.649,2983179.403
4819986.902,2885609.013
6072227.805,3015946.658
3924225.895,3019109.155
4654076.36,2831029.213
5328693.817,2970710.44
4446830.478,3189970.247
4307738.28,2646052.179
4648781.696,2781513.715
4149946.14,2724381.202
4807684.535,3662443.796
5306205.595,2719720.566
4821688.97,2824254.091
4243606.915,2396585.507
5447249.828,2514699.745
5446054.978,3318331.373
4780748.03,3281237.133
5603502.727,3103088.475
4523710.881,2858902.724
5035729.415,3286732.249
5485357.822,2541664.217
4907117.069,2683610.302
5317858.312,2679338.873
5179059.551,2563264.549
4972507.096,2821210.856
3725224.668,3432086.356
5162050.772,2540847.603
6094114.722,3134312.299
4957065.602,2956096.047
5250524.118,3459825.727
